Book ID,Shelf,Title,Author,Format,Type,Series,Part,Author l-f,Additional Authors,ISBN,ISBN13,Rating,Average Rating,Publisher,Binding,Pages,Year Published,Original Publication Year,Date Read,Date Started,Date Added,Shelves,My Review,Private Notes,Read Count,Owned Copies,URL
25014,read,The Map That Changed the World,Simon Winchester,Audiobook,Nonfiction,,,"Winchester, Simon",,0060931809,9780060931803,3,3.82,Harpperen,Paperback,352,2002,2001,2018/10/26,2018/10/20,2013/08/27,"geology, nonfiction, history",,,1,1,https://www.goodreads.com/book/show/25014
23677511,read,Basic Economics,Thomas Sowell,Kindle,Nonfiction,,,"Sowell, Thomas",,0465081452,9780465081455,5,4.3,Basic Books,Kindle Edition,704,2014,2000,2018/10/01,2018/01/06,2017/09/27,"business, economics, nonfiction, read",,,1,1,https://www.goodreads.com/book/show/23677511
36373616,read,Energy: A Human History,Richard Rhodes,Audiobook,Nonfiction,,,"Rhodes, Richard",,1501105353,9781501105357,4,3.86,Simon Schuster,Hardcover,480,2018,2018,2018/09/18,2018/09/10,2018/09/10,"engineering, history, nonfiction, read, science, technology",,,1,1,https://www.goodreads.com/book/show/36373616-energy
64582,read,Chaos: Making a New Science,James Gleick,Audiobook,Nonfiction,,,"Gleick, James",,0140092501,9780140092509,5,3.99,Penguin Books,Paperback,352,1988,1987,2018/09/09,2018/09/03,2018/05/20,"nonfiction, physics, science, weather, history, mathematics, biology",,,1,1,https://www.goodreads.com/book/show/64582
35226615,read,"Suicide of the West: How the Rebirth of Tribalism, Populism, Nationalism, and Identity Politics is Destroying American Democracy",Jonah Goldberg,Audiobook,Nonfiction,,,"Goldberg, Jonah",,1101904933,9781101904930,4,4.14,Crown Forum,Kindle Edition,464,2018,2018,2018/09/03,2018/08/26,2018/07/18,"philisophy, nonfiction, politics, history",,,1,0,https://www.goodreads.com/book/show/35226615
8049273,read,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,Kindle,Nonfiction,,,"Greene, Brian",,039333810X,9780393338102,5,4.06,W. W. Norton & Company,Paperback,464,2010,1999,2018/08/26,2018/07/28,2018/07/24,"nonfiction, science, space, physics","I enjoyed the backgrounds in quantum mechanics and relativity more than the primary topic of the book: string theory. String theory is certainly fascinating as a potential ""theory of everything"", but it's hard to assemble a primer on the subject for those of us that aren't theoretical physicists. It gets wild and abstract pretty quick.",,1,0,https://www.goodreads.com/book/show/8049273
36442813,read,The Order of Time,Carlo Rovelli,Audiobook,Nonfiction,,,"Rovelli, Carlo",,073521610X,9780735216105,5,4.11,Riverhead Books,Hardcover,240,2018,2018,2018/08/23,2018/08/22,2018/08/22,"science, physics, nonfiction, philisophy","A succinct and powerful rumination on the nature of time, gravitation, and quantum theory. Because it's not overly technical, more philosophical, it was great in audio form.",,1,0,https://www.goodreads.com/book/show/36442813
588138,read,The Hero With a Thousand Faces,Joseph Campbell,Audiobook,Nonfiction,,,"Campbell, Joseph",,0691017840,9780691017846,4,4.22,Princeton University Press,Paperback,416,1972,1949,2018/08/22,2018/08/08,2018/07/09,"history, mythology, nonfiction, philisophy",,,1,0,https://www.goodreads.com/book/show/588138
55030,read,Cosmos,Carl Sagan,Audiobook,Nonfiction,,,"Sagan, Carl",,0375508325,9780375508325,5,4.36,Random House,Mass Market Paperback,384,2002,1980,2018/08/17,2018/08/10,2018/08/16,"nonfiction, science, space, physics, history","An excellent popular science book. I would highly recommend to anyone as an introductory read on astronomy, physics, and the history of science. I'm amazed at how relevant even the advanced theoretical physics coverage is, for a book published nearly 40 years ago.",,1,0,https://www.goodreads.com/book/show/55030
13240015,read,A Conflict of Visions,Thomas Sowell,Kindle,Nonfiction,,,"Sowell, Thomas",,0465081428,9780465081424,5,4.31,Basic Books,Paperback,345,2002,1986,2018/08/14,2018/08/08,2018/07/18,"economics, nonfiction, philisophy",,,1,0,https://www.goodreads.com/book/show/13240015
